iteration,x1,x2,result,phase,acquisition_score,timestamp
0,1.305696836272273,6.994149911692744,20.649659790505012,initial,,2026-08-18T22:20:04
1,9.923174642619635,5.594010683384008,8.676275897247763,initial,,2026-08-18T22:20:04
2,4.72511830149949,2.0385832926042715,10.57727421937209,initial,,2026-08-18T22:20:04
3,3.2375579204365366,13.632193948155004,131.106254357822,initial,,2026-08-18T22:20:04
4,-4.144296858997668,11.371739205397935,16.68727133061092,initial,,2026-08-18T22:20:04
5,-2.779725413977873,1.8698653121809723,92.26804173932099,initial,,2026-08-18T22:20:04
6,-0.9826330186016925,11.187027046302255,27.566251750891123,initial,,2026-08-18T22:20:04
7,6.756896037943855,9.045645711370202,80.97967502423246,initial,,2026-08-18T22:20:04
8,7.491549948117322,6.042308209725384,35.63768736328128,active,8.27066559802493,2026-08-18T22:20:04
9,9.99427274277856,2.168828733986508,2.5996843693619214,active,13.639919755890368,2026-08-18T22:20:04
10,7.454685379726751,0.1044480146291471,15.19744398698512,active,6.4435485041342835,2026-08-18T22:20:04
11,5.156276923424599,1.9447965960327063,14.637198369018044,active,5.80639978622592,2026-08-18T22:20:04
12,-4.847062549859331,14.87726733443481,14.794135377370328,active,4.815040853841605,2026-08-18T22:20:04
13,2.8950654412356034,0.05783068196992702,6.5314285865258395,active,5.347734410872448,2026-08-18T22:20:04
14,2.843994173797155,2.88354514457978,0.9532021653173413,active,3.74436265613592,2026-08-18T22:20:04
15,9.774233413716216,0.3165640173956247,7.074132537364958,active,1.0648932872781087,2026-08-18T22:20:05
16,3.2279569646497848,1.7369421469825967,0.6561472277800444,active,0.6551004969975524,2026-08-18T22:20:05
17,2.8667456109276523,2.2420008166685306,0.8243864834104588,active,0.28447564422081134,2026-08-18T22:20:05
18,3.26722687495449,2.341110045602186,0.499826961362535,active,0.26429780845158973,2026-08-18T22:20:05
19,-3.0242790622960625,14.997628216417844,9.48059173599076,active,0.11440235494477047,2026-08-18T22:20:05
20,3.0998691152927407,2.366884787094608,0.40973942279958564,active,0.07478453522418944,2026-08-18T22:20:05
21,9.41272362840116,2.9581391225057962,0.6419184571095311,active,0.049356590277859214,2026-08-18T22:20:06
22,9.198681307789231,1.8204148790206358,0.8636157564687839,active,0.05891278643030359,2026-08-18T22:20:06
23,9.428113234992367,2.611129362287992,0.4157135343251621,active,0.02903840850973603,2026-08-18T22:20:06
24,3.14069583139033,2.2721702701752204,0.39790367462718557,active,0.01293564763330164,2026-08-18T22:20:06
25,9.318267517564946,2.2541080076813653,0.469861230368247,active,0.009462892333543488,2026-08-18T22:20:06
26,9.260660372713982,2.4016481575987396,0.5307070261291873,active,0.004492192265279247,2026-08-18T22:20:07
27,-3.215567407197499,12.747870347435974,0.5108101762008062,active,0.00028710394688793864,2026-08-18T22:20:07
28,-2.977204044318441,12.350867655816774,0.7458392222243457,active,0.13348983115285065,2026-08-18T22:20:07
29,-3.11576735237461,12.81411863311177,0.7624066629915447,active,0.025472645261289333,2026-08-18T22:20:07
30,-2.973721745385745,11.43738383028313,0.7245554489684043,active,0.00657550366714545,2026-08-18T22:20:07
31,-3.1843554642024197,12.011332698477416,0.5411144648663164,active,0.011732289674416457,2026-08-18T22:20:07
32,9.42744198201428,2.3179359405304254,0.42330178710872524,active,0.0030482821585746103,2026-08-18T22:20:08
33,9.47963056961087,2.500770838860102,0.41276547088279436,active,0.0027953147914056486,2026-08-18T22:20:08
34,9.466988012028471,2.584101143449961,0.41180796691821797,active,0.0009061360250411658,2026-08-18T22:20:08
35,9.39713100876783,2.423858410156348,0.4023363312272181,active,0.0012720162304087363,2026-08-18T22:20:08
36,3.1775300179291595,2.2271863161914647,0.40448540627957286,active,0.0016257510497045221,2026-08-18T22:20:09
37,-3.172721291024966,12.199823879710934,0.4250724422196459,active,0.001175404009640794,2026-08-18T22:20:09
38,-0.6536724704737518,5.756658950675459,19.415325750303396,active,0.00036756131757454454,2026-08-18T22:20:09
39,-3.1288168941447547,12.305394997882528,0.40240139069151937,active,0.004831618865826504,2026-08-18T22:20:09
40,-3.1829212332401307,12.44730229347963,0.4113805371805679,active,0.000659896070818301,2026-08-18T22:20:09
41,-3.095711635046356,12.124080295063218,0.40966728170615596,active,0.0021848316308128945,2026-08-18T22:20:10
42,-3.7326017176471966,14.039097340509391,2.115793291103232,active,8.053372270478776e-05,2026-08-18T22:20:10
43,3.158694927931757,2.2010278321761363,0.40297273658118726,active,0.0011083965829747672,2026-08-18T22:20:10
44,9.4567689458964,2.4109009364593073,0.41112087293318567,active,0.0002973073924952064,2026-08-18T22:20:10
45,-3.0795094037564534,11.98045878952402,0.43765505132371807,active,2.3925542410005337e-05,2026-08-18T22:20:10
46,3.1864606732822214,2.408115717455269,0.43572334164776727,active,1.0229446369321469e-05,2026-08-18T22:20:11
47,9.40074271318135,2.421491228873025,0.4017702615404257,active,0.0005794326488095215,2026-08-18T22:20:11
48,9.551360020914744,2.797207384455695,0.5202357944501621,active,1.2628299292167325e-06,2026-08-18T22:20:11
49,-3.133527226723658,12.288323002177096,0.3992688130774731,active,0.0013154726108639857,2026-08-18T22:20:11
50,-2.3532095465946345,9.978077539885781,3.463426208279632,active,3.334142447010812e-07,2026-08-18T22:20:11
51,3.200718267352876,2.2783228673012985,0.41706531493289134,active,2.733997887251533e-05,2026-08-18T22:20:12
52,3.156286520160087,2.073676273681784,0.43498308438680944,active,1.4563282926388632e-06,2026-08-18T22:20:12
53,9.41103746202095,2.4109508250355804,0.4015482715904728,active,0.00034456038583448377,2026-08-18T22:20:12
54,-3.184974869444157,12.311090368742303,0.41160162151781954,active,0.00011505585868996644,2026-08-18T22:20:12
55,1.737124239592057,2.712934952971524,9.242314378850555,active,1.4459955878109455e-08,2026-08-18T22:20:13
56,3.0792357721988104,2.432066368923725,0.4281994918750236,active,5.43245336081097e-05,2026-08-18T22:20:13
57,3.1479403021106886,2.405592663585318,0.4164512807473635,active,1.4875703015354314e-05,2026-08-18T22:20:13
58,-3.18039806884586,12.536720089466915,0.4334299010157281,active,1.0027809904789101e-07,2026-08-18T22:20:13
59,9.402815418252434,2.4378646921522784,0.4005517041359621,active,0.00028612004586174567,2026-08-18T22:20:14
